run,state,url,test/PSNR_best_step,test/PSNR_best_value,test/PSNR_current_step,test/PSNR_current_value,test/SSIM_best_step,test/SSIM_best_value,test/SSIM_current_step,test/SSIM_current_value,test/LPIPS_best_step,test/LPIPS_best_value,test/LPIPS_current_step,test/LPIPS_current_value,test/MSE_best_step,test/MSE_best_value,test/MSE_current_step,test/MSE_current_value
leadmm5_prepost_exp,finished,https://www.comet.com/dimadmitrij734/dl-project/halu7c7h9j6ewfr7if1vm93hv639d1wu,18000,16.58382535695357,20000,15.672774899962988,16000,0.41311393171548844,20000,0.4109461212158203,19000,0.6284120565652848,20000,0.6363442414999008,18000,0.0260047990642488,20000,0.03197030208539218
leadmm20_exp,running,https://www.comet.com/dimadmitrij734/dl-project/cj4994orrlreog0f7dfwwypugvaapjud,6000,8.351575268993923,6000,8.351575268993923,1000,0.10802902138791978,6000,0.027574035329744218,1000,0.7180848282575607,6000,0.8053266841173172,6000,0.16998747020959853,6000,0.16998747020959853
