run,method,best_step,test/MSE,test/PSNR,test/SSIM,test/LPIPS
admm100_exp,ADMM-100,0,0.222297,7.314678,0.098324,0.727878
leadmm5_prepost_exp,LeADMM-5 + pre/post,18000,0.0260047990642488,16.58382535695357,0.41180094338953493,0.6323044645786285
leadmm5_post_exp,LeADMM-5 + post,9000,0.03833673651330173,14.755436770866641,0.35152986548841,0.6759171414375306
leadmm5_pre_exp,LeADMM-5 + pre,10000,0.14982519209384917,8.971860723465438,0.05173594828229398,0.8016478848457337
leadmm20_exp,LeADMM-20,10000,0.1599006100744009,8.605246244066155,0.03275661642663181,0.8157118451595307
